household_id,year,month,season,house_size,residents,city,rate,avg_temp,ac_kwh,geyser_kwh,fridge_kwh,wm_kwh,tv_kwh,fan_kwh,lighting_kwh,total_kwh,total_bill
1,2023,1,Winter,1726,5,Chennai,8.802857225639665,15.531693250553328,0.0,106.04551167249312,63.36,2.4,11.409245053492683,108.0,60.0,393.21940331284367,3364.36666565435
1,2023,2,Winter,1726,5,Chennai,8.802857225639665,14.83824373195297,0.0,75.65623223298982,63.36,2.4,10.876316096372946,81.0,60.0,328.3698040630832,3100.9303733242787
1,2023,3,Summer,1726,5,Chennai,8.802857225639665,39.63289016190265,230.7568072393289,0.0,63.36,3.0,15.725555829543985,135.0,60.0,568.5793867104666,3803.214942086633
1,2023,4,Summer,1726,5,Chennai,8.802857225639665,35.0473406136908,236.5961698408878,0.0,63.36,1.8,17.361484400535538,81.0,60.0,515.14688944484,4124.278877827897
1,2023,5,Summer,1726,5,Chennai,8.802857225639665,37.413201707282674,234.40685523772171,0.0,63.36,2.4,14.089828707072403,81.0,60.0,509.7045559353363,4322.482247379459
1,2023,6,Monsoon,1726,5,Chennai,8.802857225639665,26.50184695311329,70.26133870748428,0.0,63.36,3.0,12.672338257883938,81.0,60.0,325.0122731342734,3864.3720501034422
1,2023,7,Monsoon,1726,5,Chennai,8.802857225639665,29.645089824206377,102.73973050243808,0.0,63.36,2.4,16.931163540455906,81.0,60.0,365.47143569644834,3448.726767545836
1,2023,8,Monsoon,1726,5,Chennai,8.802857225639665,29.47693315999082,131.79438398665042,0.0,63.36,1.8,13.730569543158076,81.0,60.0,393.7458347998413,3431.58311165368
1,2023,9,Monsoon,1726,5,Chennai,8.802857225639665,28.921632600297276,122.37531821570656,0.0,63.36,1.8,19.46372739214363,81.0,60.0,389.6190989893944,3488.5745842953024
1,2023,10,Summer,1726,5,Chennai,8.802857225639665,37.912926395053006,235.63023585267172,0.0,63.36,3.0,19.60698342731221,81.0,60.0,517.9230059555107,3853.175181326413
1,2023,11,Winter,1726,5,Chennai,8.802857225639665,17.861168801542203,0.0,62.23789904729088,63.36,2.4,12.051385842871401,135.0,60.0,375.1205704254988,3646.646403431502
1,2023,12,Winter,1726,5,Chennai,8.802857225639665,15.66358982380183,0.0,71.61346374069133,63.36,2.4,14.311979877888866,135.0,60.0,388.14839258962223,3493.140373096804
1,2024,1,Winter,1726,5,Chennai,8.802857225639665,12.851689426111891,0.0,72.98011249389883,63.36,3.0,18.50304370200835,81.0,60.0,334.58425454247754,3359.56166382764
1,2024,2,Winter,1726,5,Chennai,8.802857225639665,14.1324743181759,0.0,83.34254451237761,63.36,1.8,12.978567385222279,135.0,60.0,399.115604991611,3447.711468442078
1,2024,3,Summer,1726,5,Chennai,8.802857225639665,43.26705644122425,291.04071695828287,0.0,63.36,3.0,15.232135568784802,135.0,60.0,635.5207100412431,4340.301556420604
1,2024,4,Summer,1726,5,Chennai,8.802857225639665,41.245840998682745,305.35284771415775,0.0,63.36,2.4,17.640760570312572,108.0,60.0,623.3403279597851,4870.781728554594
1,2024,5,Summer,1726,5,Chennai,8.802857225639665,35.035151506282176,197.82547621943152,0.0,63.36,2.4,12.118549910767271,81.0,60.0,466.541070313897,4548.4514149339375
1,2024,6,Monsoon,1726,5,Chennai,8.802857225639665,26.595893812245293,81.67216816686168,0.0,63.36,1.8,20.09589029916851,135.0,60.0,405.2139964700366,4038.806035812428
1,2024,7,Monsoon,1726,5,Chennai,8.802857225639665,28.254024478743595,83.31684670004019,0.0,63.36,2.4,14.446243851159183,135.0,60.0,401.40180058097343,3824.4098011377637
1,2024,8,Monsoon,1726,5,Chennai,8.802857225639665,27.033754642497414,82.13454983475098,0.0,63.36,2.4,21.295246493386372,108.0,60.0,377.5170831411691,3725.0367163966293
1,2024,9,Monsoon,1726,5,Chennai,8.802857225639665,30.173454046078547,159.9538344378696,0.0,63.36,1.8,17.65099452277473,108.0,60.0,459.89155595709684,3847.632705570523
1,2024,10,Summer,1726,5,Chennai,8.802857225639665,37.93057646058951,215.76752637151895,0.0,63.36,3.0,13.4153273333962,108.0,60.0,518.9817365390142,4196.143117744247
1,2024,11,Winter,1726,5,Chennai,8.802857225639665,18.805588621872197,0.0,48.89636422593851,63.36,1.8,12.427749474826639,135.0,60.0,359.93302941595937,3960.297948207607
1,2024,12,Winter,1726,5,Chennai,8.802857225639665,19.413209907356922,11.734095601114483,31.20607933503941,63.36,3.0,14.565592662750678,135.0,60.0,357.0015338790466,3603.9890380066045
2,2023,1,Winter,2443,2,Mumbai,7.763750952409864,15.223471202046772,0.0,74.89693511161126,63.36,2.4,21.407418107957906,81.0,60.0,307.9196271757278,3324.810249867297
2,2023,2,Winter,2443,2,Mumbai,7.763750952409864,15.351018084342213,0.0,53.86703692958509,63.36,3.0,18.363864563705928,135.0,60.0,338.9352291874768,3142.7078137732806
2,2023,3,Summer,2443,2,Mumbai,7.763750952409864,37.42902139802734,259.26086942240295,0.0,63.36,2.4,20.953441178544008,81.0,60.0,494.775933135769,3565.239045694928
2,2023,4,Summer,2443,2,Mumbai,7.763750952409864,41.731549022289514,304.03715252142365,0.0,63.36,1.8,10.995213927047626,108.0,60.0,556.9747392069524,3921.352980902148
2,2023,5,Summer,2443,2,Mumbai,7.763750952409864,40.31719115801481,255.81672847028642,0.0,63.36,1.8,14.127056552005804,135.0,60.0,538.5963677828095,4058.4454880315207
2,2023,6,Monsoon,2443,2,Mumbai,7.763750952409864,25.260257886567405,53.64841460506165,0.0,63.36,3.0,15.491459147512629,81.0,60.0,280.9295687056438,3288.326614802821
2,2023,7,Monsoon,2443,2,Mumbai,7.763750952409864,33.46884431812348,183.93912047308578,0.0,63.36,1.8,16.191288502755327,135.0,60.0,467.66453929248337,3422.566001330243
2,2023,8,Monsoon,2443,2,Mumbai,7.763750952409864,27.97683336043601,111.9757212309629,0.0,63.36,1.8,21.093175947858697,81.0,60.0,344.66354896861975,3095.98028880276
2,2023,9,Monsoon,2443,2,Mumbai,7.763750952409864,28.94647524914709,119.13876532870604,0.0,63.36,3.0,13.699528454413693,135.0,60.0,400.5135885019965,2980.195496980974
2,2023,10,Summer,2443,2,Mumbai,7.763750952409864,38.428187488260406,220.75140857049576,0.0,63.36,2.4,11.849506132724303,135.0,60.0,501.2648544925679,3375.620885157398
2,2023,11,Winter,2443,2,Mumbai,7.763750952409864,18.114847017724752,0.0,62.32588462519113,63.36,3.0,18.45623876662928,135.0,60.0,347.6234468248194,3190.213161168734
2,2023,12,Winter,2443,2,Mumbai,7.763750952409864,17.81024391991312,0.0,55.757157118717906,63.36,1.8,11.681217148322595,135.0,60.0,332.84669805623355,2968.360043595874
2,2024,1,Winter,2443,2,Mumbai,7.763750952409864,18.874712656667054,0.0,61.4593120234929,63.36,2.4,20.412057691629716,135.0,60.0,348.12053116967195,2941.1606771666407
2,2024,2,Winter,2443,2,Mumbai,7.763750952409864,16.13670250220766,0.0,104.37142778378661,63.36,3.0,15.828458595830572,135.0,60.0,387.6727061796799,2914.5497642925925
2,2024,3,Summer,2443,2,Mumbai,7.763750952409864,37.17447677361979,245.25741860946434,0.0,63.36,1.8,13.732663490853213,81.0,60.0,472.60206731512267,3250.4778280137375
2,2024,4,Summer,2443,2,Mumbai,7.763750952409864,40.420797266273276,272.277953871114,0.0,63.36,3.0,17.684242936180627,81.0,60.0,505.2895987281291,3416.166449104672
2,2024,5,Summer,2443,2,Mumbai,7.763750952409864,37.78561104967775,229.16586024120429,0.0,63.36,2.4,11.07378802888694,81.0,60.0,454.1608525740677,3425.381242229677
2,2024,6,Monsoon,2443,2,Mumbai,7.763750952409864,27.728565235363536,86.481767779774,0.0,63.36,2.4,12.489520060847727,108.0,60.0,338.0618440049795,3117.65607909241
2,2024,7,Monsoon,2443,2,Mumbai,7.763750952409864,27.361289844370443,94.77354152575522,0.0,63.36,3.0,15.505267305721219,81.0,60.0,322.7275743679082,3052.4087810834003
2,2024,8,Monsoon,2443,2,Mumbai,7.763750952409864,24.961260068091974,56.08174427975099,0.0,63.36,1.8,14.492300400537138,81.0,60.0,281.16749119303313,2647.997462415179
2,2024,9,Monsoon,2443,2,Mumbai,7.763750952409864,27.43869024931836,86.8328601770985,0.0,63.36,2.4,15.48559781177011,135.0,60.0,368.8951941453588,2822.1463437586
2,2024,10,Summer,2443,2,Mumbai,7.763750952409864,37.3512091048652,246.04502542986663,0.0,63.36,1.8,12.559691812479441,135.0,60.0,527.0756412894771,3336.8544927570806
2,2024,11,Winter,2443,2,Mumbai,7.763750952409864,18.344871564784484,0.0,57.345443407944025,63.36,1.8,15.74913121730838,135.0,60.0,338.5935141599077,3198.3315291913755
2,2024,12,Winter,2443,2,Mumbai,7.763750952409864,16.892578696003834,0.0,70.31473727442346,63.36,3.0,12.914544255724403,81.0,60.0,295.2446973042689,2920.73252377653
3,2023,1,Winter,611,4,Mumbai,6.509036332911903,18.460422707288757,0.0,70.46353569199374,63.36,2.4,19.596259611960505,81.0,60.0,270.60732446057614,2567.9657971328556
3,2023,2,Winter,611,4,Mumbai,6.509036332911903,19.902560171471507,0.0,34.69911715211037,63.36,1.8,19.477594048156362,81.0,60.0,237.34610019735217,2144.0258951252777
3,2023,3,Summer,611,4,Mumbai,6.509036332911903,33.56647789103418,214.4126941477981,0.0,63.36,3.0,15.256270910643407,108.0,60.0,423.0500751410032,2522.9162235582403
3,2023,4,Summer,611,4,Mumbai,6.509036332911903,38.98428206787332,221.92012383501554,0.0,63.36,1.8,18.142323622922657,135.0,60.0,456.04727273360015,2786.8043631637
3,2023,5,Summer,611,4,Mumbai,6.509036332911903,37.184169294457405,237.87280423455542,0.0,63.36,1.8,14.256535691130606,135.0,60.0,467.04852513291144,2962.5716723453615
